cmd,,lower,upper,isFlag,UniqueCode,return_info,Type,tryPerio,tryTimes
?DX2,判断中左磁传感器是否触发,0,0,0,checkMAGSensorCL_OFF,,BDP,200,2
?DX4,判断中右磁传感器是否触发,0,0,0,checkMAGSensorCR_OFF,,BDP,200,2
?DX5,判断中磁传感器是否触发,0,0,0,checkMAGSensorC_OFF,,BDP,200,2
?DX3,判断尘盒磁传感器未触发,0,0,0,checkDustBMAGSensor_OFF,,BDP,200,2
?DX7,判断水箱传感器是否触发,0,0,2,checkWaterTankSensorOFF,,BDP,200,2
?DX8,判断水位传感器未触发,0,0,0,checkWaterLeveSensor_OFF,,BDP,200,2
?DA,检测震动电机电流,0,5,2,checkAgitADC_0,,BDP,200,2
?DG,检测喷水电机电流,0,5,0,checkWaterPumADC_0,,BDP,200,2
?DL,,0,0,2,checkFanJ_ADC,,BDP,200,2
*DD004B0,激活主刷马达工作,,,2,activeMainBrushMotor,,BDP,200,2
*DM1001F4,激活右轮马达工作,,,2,activeRWheelMotor,,BDP,200,2
*DM0001F4,激活左轮马达工作,,,2,activeLWheelMotor,,BDP,200,2
*DB064,激活左边刷马达工作,,,2,activeLSideBrushMotor,,BDP,200,2
*DB164,激活右边刷马达工作,,,2,activeRSideBrushMotor,,BDP,200,2
*DC64,激活吸尘风机电机工作,,,2,activeSuctionMotor,,BDP,200,2
*DA64,激活振动电机工作,,,2,activeAgitatorMotor,,BDP,200,2
*DG164,激活喷水电机工作,,,2,activeWaterPumpMotor,,BDP,200,2
*DL064,激活fanj电机工作,,,2,activeFanJMotor,,BDP,200,2
?UI,检测按键放开状态,0,0,2,checkBtnState,,BDP,200,2
?DW1,检测右轮是否落下,1,1,2,checkRWheelDown,,BDP,200,2
?DW0,检测左轮是否落下,1,1,2,checkLWheelDown,,BDP,200,2
?DT0,检测left bumper是否触发,0,0,2,checkLBumper_OFF,,BDP,200,2
?DT1,检测right bumper是否触发,0,0,2,checkRBumper_OFF,,BDP,200,2
?DT2,检测TopLeft bumper是否触发,0,0,2,checkTopLBumper_OFF,,BDP,200,2
?DT3,检测TopRight bumper是否触发,0,0,2,checkTopRBumper_OFF,,BDP,200,2
?DT8,检测TopCenter Middle bumper是否触发,0,0,2,checkTopCBumper_OFF,,BDP,200,2
?DT9,检查雷达bumper 开关0 LiDAR turret bumper 0,0,0,2,checkLidarTurretLBumper_OOFF,,BDP,200,2
?DTA,检查雷达bumper 开关1 LiDAR turret bumper 1,0,0,2,checkLidarTurretRBumper_OFF,,BDP,200,2
?DTB,检查雷达bumper 开关2 LiDAR turret bumper 2,0,0,2,checkLidarTurretFBumper_OFF,,BDP,200,2
?DD,检测主刷工作电流,10,400,2,checkMainBrushMotor_A,,BDP,200,2
?DD,检测主刷工作速度,900,1100,0,checkMainBrushMotor_RPM,,BDP,200,2
?DM1,检测右轮电机工作电流,10,140,2,checkRWheelMotor_A,,BDP,200,2
?DR1,检测右轮电机工作速度,340,580,2,checkRWheelMotor_RPM,,BDP,200,2
?DM0,检测左轮电机工作电流,10,140,2,checkLWheelMotor_A,,BDP,200,2
?DR0,检测左轮电机工作速度,340,580,2,checkLWheelMotor_RPM,,BDP,200,2
?DB0,检测左边刷电机工作电流,15,100,2,checkLSideBrushMotor_A,,BDP,200,2
?DB1,检测右边刷电流工作电流,15,100,2,checkRSideBrushMotor_A,,BDP,200,2
?DC,检测吸尘电机工作速度,150,350,2,checkSuctionMotor_A,,BDP,200,2
?DA,检测震动电机电流,10,120,2,checkAgitADC_1,,BDP,200,2
?DG,检测喷水电机电流,10,80,2,checkWaterPumADC_1,,BDP,200,2
?DL,,0,300,2,checkFanJ_ADC_1,,BDP,200,2
*DD000,激活主刷马达停止,,,2,stopMainBrushMotor,,BDP,200,2
*DM110000,激活右轮马达停止,,,2,stopRWheelMotor,,BDP,200,2
*DM010000,激活左轮马达停止,,,2,stopLWheelMotor,,BDP,200,2
*DB000,激活左边刷马达停止,,,2,stopLSideBrushMotor,,BDP,200,2
*DB100,激活右边刷马达停止,,,2,stopRSideBrushMotor,,BDP,200,2
*DC00,激活吸尘风机电机停止,,,2,stopSuctionMotor,,BDP,200,2
*DA00,激活振动电机停止,,,2,stopAgitatorMotor,,BDP,200,2
*DG100,激活喷水电机停止,,,2,stopWaterPumpMotor,,BDP,200,2
*DL000,激活fanj电机工作,,,0,stopFanJMotor,,BDP,200,2
PushRobot,气缸运动,,,2,PushRobot,,,200,5
?WI,检测WiFi SCM 版本信息（比对版本）,1.4.014,1.4.014,0,checkWifiVersion,,BDP,200,40
?DU8,Front FWD(L) ADC值（根据协议 取倒数第8至倒数第4位判断取值范围）,50,4000,0,checkLFrontFWDArray_ADC,,BDP,200,2
?DU9,Front FWD(C) ADC值（根据协议 取倒数第8至倒数第4位判断取值范围）,50,4000,2,checkCFrontFWDArray_ADC,,BDP,200,2
?DUA,Front FWD(A) ADC值 同上,10,4000,0,checkRFrontFWDArray_ADC,,BDP,200,2
?DU0,Front left cliff ADC值 同上,10,4000,2,checkFrontLCliff_ADC,,BDP,200,2
?DU1,Front Right cliff ADC值 同上,10,4000,2,checkFrontRCliff_ADC,,BDP,200,2
?DU2,Middle left cliff ADC值 同上,10,4000,2,checkMiddleLCliff_ADC,,BDP,200,2
?DU3,Middle Right cliff ADC值 同上,10,4000,2,checkMiddleRCliff_ADC,,BDP,200,2
?DU7,Along wall Sensor L ADC值 同上,80,4000,0,checkLAlongWallSensor_ADC,,BDP,200,2
?DU6,Along wall Sensor L ADC值 同上,0,205,2,checkRAlongWallSensor_ADC,,BDP,200,2
?DX0,判断左磁传感器是否触发,1,1,2,checkMAGSensorL_ON,,BDP,200,2
?DX1,判断右磁传感器是否触发,1,1,2,checkMAGSensorR_ON,,BDP,200,2
?DX2,判断中左磁传感器是否触发,1,1,0,checkMAGSensorCL_ON,,BDP,200,2
?DX4,判断中右磁传感器是否触发,1,1,0,checkMAGSensorCR_ON,,BDP,200,2
?DX5,判断中磁传感器是否触发,1,1,0,checkMAGSensorC_ON,,BDP,200,2
?DX3,判断尘盒磁传感器是否触发,1,1,2,checkDustBMAGSensor_ON,,BDP,200,2
delay,延时,2,,1,delay_yongq,,SPE,200,1
?DX7,判断水箱传感器是否触发,1,1,0,checkWaterTankSensor_ON,,BDP,200,2
delay,延时,2,,1,delay_yongq2,,SPE,200,1
?DX8,判断水位传感器未触发,1,1,0,checkWaterLeveSensor_ON,,BDP,200,2
?DV0,检测左前Dock IR Sensor(IR Sensors ON for docking@Front Left),1,16777215,2,checkFrontLDockIRSesor,,BDP,200,2
?DV1,检测右前Dock IR Sensor(IR Sensors ON for docking@Front Right),1,16777215,2,checkFrontRDockIRSesor,,BDP,200,2
?DV2,检测左中Dock IR Sensor(IR Sensors ON for docking@Middle Left),1,16777215,2,checkMiddleLDockIRSesor,,BDP,200,2
?DV3,检测右中Dock IR Sensor(IR Sensors ON for docking@Middle Right),1,16777215,2,checkMiddleRDockIRSesor,,BDP,200,2
?DV4,检测左后Dock IR Sensor(IR Sensors ON for docking@Back Left),1,16777215,2,checkBackLDockIRSesor,,BDP,200,2
?DV5,检测右后Dock IR Sensor(IR Sensors ON for docking@Back Right),1,16777215,2,checkBackRDockIRSesor,,BDP,200,2
?DV6,后对位接收IR 右（顶盖）,1,16777215,0,checkCBackLDockIRSesor,,BDP,200,2
?DV7,后对位接收IR 左（顶盖）,1,16777215,0,checkCBackRDockIRSesor,,BDP,200,2
?NI,Acc function checking,1,1,2,checkIMUstate,,BDP,200,2
?NI,Acc x_value checking,-5,5,2,checkIMUAccxValue,,BDP,200,2
?NI,Acc y_value checking,-5,5,2,checkIMUAccyValue,,BDP,200,2
?NI,Acc z_value checking,-5,5,2,checkIMUAcczValue,,BDP,200,2
?NI,Gyro function Checking,0,43,2,checkIMUtemValue,,BDP,200,2
?NI,Gyro x_value Checking,-40,40,2,checkIMUGyroxValue,,BDP,200,2
?NI,Gyro y_value Checking,-40,40,2,checkIMUGyroyValue,,BDP,200,2
?NI,Gyro z_value Checking,-40,40,2,checkIMUGyrozValue,,BDP,200,2
?DW1,检测右轮是否抬起,0,0,2,checkRWheelNotDown,,BDP,200,2
?DW0,检测左轮是否抬起,0,0,2,checkLWheelNotDown,,BDP,200,2
?DT0,检测left bumper是否触发,1,1,2,checkLBumper_ON,,BDP,200,2
?DT1,检测right bumper是否触发,1,1,2,checkRBumper_ON,,BDP,200,2
?DT2,检测TopLeft bumper是否触发,1,1,0,checkTopLBumper_ON,,BDP,200,2
?DT3,检测TopRight bumper是否触发,1,1,0,checkTopRBumper_ON,,BDP,200,2
?DT8,检测TopCenter Middle bumper是否触发,1,1,0,checkTopCMiddleBumper_ON,,BDP,200,2
?DT9,检查雷达bumper 开关0 LiDAR turret bumper 0,1,1,2,checkLidarTurretLBumper_ON,,BDP,200,2
?DTA,检查雷达bumper 开关1 LiDAR turret bumper 1,1,1,2,checkLidarTurretRBumper_ON,,BDP,200,2
?DTB,检查雷达bumper 开关2 LiDAR turret bumper 2,1,1,2,checkLidarTurretFrontBumper_ON,,BDP,200,2
*DY1,激活蜂鸣器开启,,,2,TurnBuzzer_ON,,BDP,200,2
?DY,检测蜂鸣器状态,1,1,2,checkBuzzerState,,BDP,200,100
*DY0,激活蜂鸣器停止,,,2,TurnBuzzer_OFF,,BDP,200,2
*MD1,开启雷达电源,,,2,setLidar_PowerON,,BDP,200,2
?MC,检测雷达状态是否正常,0,0,2,checkLidarHealthState,,BDP,200,20
?MD,检测雷达电源开关,1,1,2,checkLidarPowerState,,BDP,200,5
?ME,检测雷达工作电流,0,10000,2,checkLidarwork_A,,BDP,200,5
?MG,检测雷达转动频率,5,7,2,checkLidarRotFreq_A,,BDP,200,5
?WW,读取PCBA 二维码信息,31,31,2,checkPcbaBarcode,,BDP,200,5
?WS,检测PCBA版本信息长度,28,28,0,checkNavPcbaBarcode,,BDP,200,5
?WH,检测bootloader版本,11.15,11.15,2,checkNavBootloader_Ver,,BDP,200,5
?NH,导航板状态,1,1,2,checkNavHealthState,,BDP,200,5
?PD,查询PCBA硬件信息Check PCBA Hardware build Info,zp64,zp64,0,checkPcbaHWInfo,,BDP,200,2
?PH,查询PCBA软件信息Check PCBA Hardware build Info,zp64,zp64,0,checkPcbaFWInfo,,BDP,200,2
PD=PH,判断PD=PH Validate PD=PH,1,1,0,validatePD_PH,,SPE,200,2
?WN,检测导航板APP版本,6.6.a,6.6.a,2,checkNavAppVersion,,BDP,200,5
?WB,读取雷达序列号（判断长度）,32,32,2,checkLidarSN,,BDP,200,5
*MD0,激活雷达电源关闭,,,0,setLidar_PowerOFF,,BDP,200,5
?WT,查询 WiFi SSID 状态,1,1,2,checkWifiSSIDScanState,,BDP,200,5
?WY,查询WiFi SSID ,12,12,2,deviceMacAddress,,BDP,200,5
?WM,HWD自检,32,32,0,checkHWD_self,,BDP,200,5
?MA,检测雷达厂家型号,0.3,0.3,2,checkLidarModel,,BDP,200,10
?MA,检测雷达硬件版本,0.0.0.0,0.0.0.0,2,checkLidarHW_Ver,,BDP,200,5
?MA,检测雷达固件版本,0.1.13.18,0.1.13.18,2,checkLidarFW_Ver,,BDP,200,5
?DK,对比水箱流量,0,10000,0,checkWaterflowrate,,BDP,200,5
*WG02,写入BDP测试标志,0.0.1.4,,2,setBDPTestPass,,BDP,200,2
?WG0,检测BDP测试标志,2,2,1,checkBDPTestState,,BDP,200,2
*DS0,退出测试模式,,,1,setTestMode_OFF,,BDP,200,2
?DS,确认退出测试模式,0,0,1,checkTestMode_OFF,,BDP,200,2
