operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,,,
noInfo,R14Q3081K5Z9,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021452568,20579E48F879,a4:bb:6d:ce:ca:1c,KAY-DT-43,57:37.7,34.368,23.349,10.775,success,noInfo,1.951,1.653,0.816
noInfo,R14Q3081F4U1,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3326.15.5_sprint15.5_rc1_FV1.4.2_ST2.2.007_M0.0.91_GM1.0.91_10.16_Jul142021.zip,AC000W021452778,20579E490FAB,a4:bb:6d:ce:ca:1c,KAY-DT-43,12:04.3,41.917,30.342,10.171,success,noInfo,2.315,2.291,0.836
noInfo,R14Q3081F5S4,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3326.15.5_sprint15.5_rc1_FV1.4.2_ST2.2.007_M0.0.91_GM1.0.91_10.16_Jul142021.zip,AC000W021452793,20579E490F9C,a4:bb:6d:ce:ca:1c,KAY-DT-43,15:04.4,42.095,32.434,10.178,success,noInfo,2.373,2.071,0.827
noInfo,R14Q3081F5R7,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3326.15.5_sprint15.5_rc1_FV1.4.2_ST2.2.007_M0.0.91_GM1.0.91_10.16_Jul142021.zip,AC000W021452803,20579E490B86,a4:bb:6d:ce:ca:1c,KAY-DT-43,16:59.2,40.446,31.558,10.178,success,noInfo,2.244,1.92,0.824
noInfo,R14Q3081F5R1,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3326.15.5_sprint15.5_rc1_FV1.4.2_ST2.2.007_M0.0.91_GM1.0.91_10.16_Jul142021.zip,AC000W021452818,20579E490FC8,a4:bb:6d:ce:ca:1c,KAY-DT-43,19:27.9,38.706,30.449,10.21,success,noInfo,2.375,1.885,0.825
noInfo,R14Q3081F5R4,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3326.15.5_sprint15.5_rc1_FV1.4.2_ST2.2.007_M0.0.91_GM1.0.91_10.16_Jul142021.zip,AC000W021452833,20579E490FA8,a4:bb:6d:ce:ca:1c,KAY-DT-43,21:19.3,38.587,30.41,10.151,success,noInfo,2.275,1.844,0.822
noInfo,R14Q3081F5R2,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3326.15.5_sprint15.5_rc1_FV1.4.2_ST2.2.007_M0.0.91_GM1.0.91_10.16_Jul142021.zip,AC000W021452843,20579E490F68,a4:bb:6d:ce:ca:1c,KAY-DT-43,23:22.6,38.635,30.023,10.175,success,noInfo,2.375,1.89,0.828
noInfo,R14Q3081F5Q8,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3326.15.5_sprint15.5_rc1_FV1.4.2_ST2.2.007_M0.0.91_GM1.0.91_10.16_Jul142021.zip,AC000W021452858,20579E490F7A,a4:bb:6d:ce:ca:1c,KAY-DT-43,25:11.6,39.944,32.592,10.179,success,noInfo,2.43,1.937,0.831
noInfo,R14Q3081F5Q0,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3326.15.5_sprint15.5_rc1_FV1.4.2_ST2.2.007_M0.0.91_GM1.0.91_10.16_Jul142021.zip,AC000W021452868,20579E490F89,a4:bb:6d:ce:ca:1c,KAY-DT-43,27:19.4,39.464,32.92,10.181,success,noInfo,2.333,1.916,0.84
noInfo,R14Q3081F5K8,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3326.15.5_sprint15.5_rc1_FV1.4.2_ST2.2.007_M0.0.91_GM1.0.91_10.16_Jul142021.zip,AC000W021452883,20579E490F5D,a4:bb:6d:ce:ca:1c,KAY-DT-43,29:14.4,40.457,32.82,10.182,success,noInfo,2.364,1.868,0.827
noInfo,R14Q3081F5K9,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3326.15.5_sprint15.5_rc1_FV1.4.2_ST2.2.007_M0.0.91_GM1.0.91_10.16_Jul142021.zip,AC000W021452888,20579E490F41,a4:bb:6d:ce:ca:1c,KAY-DT-43,31:16.6,39.357,32.019,10.195,success,noInfo,2.38,1.862,0.849
noInfo,R14Q3081F5Q7,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3326.15.5_sprint15.5_rc1_FV1.4.2_ST2.2.007_M0.0.91_GM1.0.91_10.16_Jul142021.zip,AC000W021452903,20579E490B3C,a4:bb:6d:ce:ca:1c,KAY-DT-43,33:05.5,41.58,31.066,10.177,success,noInfo,2.312,1.899,0.823
noInfo,R14Q3081F5Q4,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3326.15.5_sprint15.5_rc1_FV1.4.2_ST2.2.007_M0.0.91_GM1.0.91_10.16_Jul142021.zip,AC000W021452913,20579E490F5C,a4:bb:6d:ce:ca:1c,KAY-DT-43,35:04.5,39.432,31.194,10.194,success,noInfo,2.349,1.87,0.833
noInfo,R14Q3081F5Q1,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3326.15.5_sprint15.5_rc1_FV1.4.2_ST2.2.007_M0.0.91_GM1.0.91_10.16_Jul142021.zip,AC000W021452928,20579E490B8A,a4:bb:6d:ce:ca:1c,KAY-DT-43,37:04.4,41.26,33.018,10.156,success,noInfo,2.396,1.801,0.821
noInfo,R14Q3081F4U4,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3326.15.5_sprint15.5_rc1_FV1.4.2_ST2.2.007_M0.0.91_GM1.0.91_10.16_Jul142021.zip,AC000W021452948,20579E490BA0,a4:bb:6d:ce:ca:1c,KAY-DT-43,40:54.8,39.731,32.221,10.189,success,noInfo,2.366,1.878,0.827
noInfo,R14Q3081F5J8,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3326.15.5_sprint15.5_rc1_FV1.4.2_ST2.2.007_M0.0.91_GM1.0.91_10.16_Jul142021.zip,AC000W021452958,20579E48F73F,a4:bb:6d:ce:ca:1c,KAY-DT-43,43:45.1,41.429,31.725,10.172,success,noInfo,2.45,1.898,0.833
noInfo,R14Q3081F5H9,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3326.15.5_sprint15.5_rc1_FV1.4.2_ST2.2.007_M0.0.91_GM1.0.91_10.16_Jul142021.zip,AC000W021452978,20579E48F756,a4:bb:6d:ce:ca:1c,KAY-DT-43,47:49.6,40.041,31.098,10.164,success,noInfo,2.358,2.027,0.845
noInfo,R14Q3081F5J1,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3326.15.5_sprint15.5_rc1_FV1.4.2_ST2.2.007_M0.0.91_GM1.0.91_10.16_Jul142021.zip,AC000W021452993,20579E48F762,a4:bb:6d:ce:ca:1c,KAY-DT-43,50:24.6,40.548,30.705,10.196,success,noInfo,2.412,1.84,0.822
noInfo,R14Q3081F5J6,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3326.15.5_sprint15.5_rc1_FV1.4.2_ST2.2.007_M0.0.91_GM1.0.91_10.16_Jul142021.zip,AC000W021453008,20579E490AD1,a4:bb:6d:ce:ca:1c,KAY-DT-43,52:16.4,39.578,32.846,10.203,success,noInfo,2.371,1.947,0.826
noInfo,R14Q3081F5J3,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3326.15.5_sprint15.5_rc1_FV1.4.2_ST2.2.007_M0.0.91_GM1.0.91_10.16_Jul142021.zip,AC000W021453023,20579E490670,a4:bb:6d:ce:ca:1c,KAY-DT-43,54:27.4,39.546,31.108,10.154,success,noInfo,2.27,1.879,0.819
noInfo,R14Q3081F5H7,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3326.15.5_sprint15.5_rc1_FV1.4.2_ST2.2.007_M0.0.91_GM1.0.91_10.16_Jul142021.zip,AC000W021453038,20579E490600,a4:bb:6d:ce:ca:1c,KAY-DT-43,56:50.8,40.615,31.173,10.178,success,noInfo,2.443,1.954,0.812
noInfo,R14Q3081F5H1,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3326.15.5_sprint15.5_rc1_FV1.4.2_ST2.2.007_M0.0.91_GM1.0.91_10.16_Jul142021.zip,AC000W021453053,20579E490679,a4:bb:6d:ce:ca:1c,KAY-DT-43,58:47.0,41.624,31.185,10.165,success,noInfo,2.347,1.887,0.831
noInfo,R14Q3081F5H0,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3326.15.5_sprint15.5_rc1_FV1.4.2_ST2.2.007_M0.0.91_GM1.0.91_10.16_Jul142021.zip,AC000W021453068,20579E490611,a4:bb:6d:ce:ca:1c,KAY-DT-43,01:00.8,39.494,32.134,10.158,success,noInfo,2.317,1.859,0.822
noInfo,R14Q3081F5F8,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3326.15.5_sprint15.5_rc1_FV1.4.2_ST2.2.007_M0.0.91_GM1.0.91_10.16_Jul142021.zip,AC000W021453083,20579E4906E1,a4:bb:6d:ce:ca:1c,KAY-DT-43,03:00.3,39.53,31.468,10.17,success,noInfo,2.299,1.849,0.81
noInfo,R14Q3081F4U7,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3326.15.5_sprint15.5_rc1_FV1.4.2_ST2.2.007_M0.0.91_GM1.0.91_10.16_Jul142021.zip,AC000W021453098,20579E4906BF,a4:bb:6d:ce:ca:1c,KAY-DT-43,04:47.8,42.508,30.294,10.19,success,noInfo,2.534,1.917,0.826
noInfo,R14Q3081F5F9,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3326.15.5_sprint15.5_rc1_FV1.4.2_ST2.2.007_M0.0.91_GM1.0.91_10.16_Jul142021.zip,AC000W021453113,20579E490652,a4:bb:6d:ce:ca:1c,KAY-DT-43,06:44.8,39.719,30.541,10.174,success,noInfo,2.39,1.844,0.817
noInfo,R14Q3081K9R4,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021453133,20579E4912D3,a4:bb:6d:ce:ca:1c,KAY-DT-43,12:58.2,26.869,22.104,11.083,success,noInfo,2.072,1.604,0.817
noInfo,R14Q3081K4H0,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021453143,20579E491386,a4:bb:6d:ce:ca:1c,KAY-DT-43,14:54.8,31.277,22.78,10.556,success,noInfo,1.959,1.629,0.807
noInfo,R14Q3081K4H2,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021453153,20579E48F6E1,a4:bb:6d:ce:ca:1c,KAY-DT-43,16:43.4,32.441,23.213,10.677,success,noInfo,2.054,1.625,0.827
noInfo,R14Q3081K4F0,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021453168,20579E4915CF,a4:bb:6d:ce:ca:1c,KAY-DT-43,18:14.6,27.175,22.79,10.628,success,noInfo,2.073,1.695,0.818
noInfo,R14Q3081K5H3,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021453183,20579E491240,a4:bb:6d:ce:ca:1c,KAY-DT-43,19:45.9,32.705,23.185,10.504,success,noInfo,1.985,1.667,0.822
noInfo,R14Q3081K5K2,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021453193,20579E491419,a4:bb:6d:ce:ca:1c,KAY-DT-43,21:21.4,32.28,21.982,10.846,success,noInfo,1.965,1.642,0.812
noInfo,R14Q3081K4A6,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021453213,20579E39B714,a4:bb:6d:ce:ca:1c,KAY-DT-43,23:45.4,30.216,23.298,10.803,success,noInfo,1.996,1.623,0.825
noInfo,R14Q3081K4A7,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021453228,20579E490A55,a4:bb:6d:ce:ca:1c,KAY-DT-43,26:06.5,31.945,22.285,10.48,success,noInfo,1.972,1.603,0.823
noInfo,R14Q3081K4A2,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021453298,20579E48F3EF,a4:bb:6d:ce:ca:1c,KAY-DT-43,35:50.1,30.842,22.782,6.29,success,noInfo,2.023,2.015,0.813
noInfo,R14Q3081K4A8,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021453313,20579E491533,a4:bb:6d:ce:ca:1c,KAY-DT-43,37:11.6,32.976,23.021,11.096,success,noInfo,1.972,2.034,0.825
noInfo,R14Q3081K3U4,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021453328,20579E491A89,a4:bb:6d:ce:ca:1c,KAY-DT-43,38:42.1,31.307,21.877,10.44,success,noInfo,1.977,1.61,0.82
noInfo,R14Q3081K3U7,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021453343,20579E48F12C,a4:bb:6d:ce:ca:1c,KAY-DT-43,40:07.7,31.87,23.116,11.026,success,noInfo,2.037,1.578,0.818
noInfo,R14Q3081K4K0,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021453358,20579E4906AD,a4:bb:6d:ce:ca:1c,KAY-DT-43,41:44.5,30.315,22.343,11.455,success,noInfo,2.066,1.67,0.821
noInfo,R14Q3081K3U0,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021453373,20579E490E87,a4:bb:6d:ce:ca:1c,KAY-DT-43,43:16.5,25.352,21.994,10.815,success,noInfo,2.057,1.643,0.821
noInfo,R14Q3081K3S5,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021453378,20579E48F669,a4:bb:6d:ce:ca:1c,KAY-DT-43,45:07.1,30.155,22.233,3.2,success,noInfo,1.961,1.671,0.815
noInfo,R14Q3081K5H0,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021453393,20579E490017,a4:bb:6d:ce:ca:1c,KAY-DT-43,46:35.2,32.243,23.051,11.165,success,noInfo,2.087,1.689,0.823
noInfo,R14Q3081K4Z4,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021453408,20579E491B28,a4:bb:6d:ce:ca:1c,KAY-DT-43,48:30.2,31.22,22.793,10.685,success,noInfo,2.045,1.598,0.825
noInfo,R14Q3081K3S6,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021453418,20579E490EE1,a4:bb:6d:ce:ca:1c,KAY-DT-43,50:17.1,31.609,22.64,10.61,success,noInfo,2.076,1.613,0.807
noInfo,R14Q3081K3R9,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021453433,20579E48FE73,a4:bb:6d:ce:ca:1c,KAY-DT-43,51:57.1,32.316,23.588,10.578,success,noInfo,1.997,1.664,0.821
noInfo,R14Q3081K4Q3,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021453448,20579E39B6FF,a4:bb:6d:ce:ca:1c,KAY-DT-43,54:42.8,31.029,22.361,11.155,success,noInfo,2.049,1.596,0.818
noInfo,R14Q3081K3R7,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021453458,20579E48F599,a4:bb:6d:ce:ca:1c,KAY-DT-43,56:15.5,24.979,22.776,10.749,success,noInfo,1.985,1.641,0.858
noInfo,R14Q3081K3R0,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021453473,20579E490CDB,a4:bb:6d:ce:ca:1c,KAY-DT-43,58:17.6,30.036,23.398,10.749,success,noInfo,1.943,1.583,0.807
noInfo,R14Q3081K3R5,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021453488,20579E490E8F,a4:bb:6d:ce:ca:1c,KAY-DT-43,59:59.7,30.174,22.892,10.783,success,noInfo,2.06,1.617,0.818
noInfo,R14Q3081K3Q7,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021453503,20579E48F7EA,a4:bb:6d:ce:ca:1c,KAY-DT-43,01:33.2,32.379,23.508,10.544,success,noInfo,2.009,1.753,0.824
noInfo,R14Q3081K3Q8,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021453513,20579E490568,a4:bb:6d:ce:ca:1c,KAY-DT-43,03:09.8,27.029,22.427,10.729,success,noInfo,2.037,1.68,0.813
noInfo,R14Q3081K3R4,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021453523,20579E490D17,a4:bb:6d:ce:ca:1c,KAY-DT-43,04:40.5,31.173,22.481,10.608,success,noInfo,2.112,1.631,0.821
noInfo,R14Q3081K4U5,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021453533,20579E49149D,a4:bb:6d:ce:ca:1c,KAY-DT-43,06:19.7,30.284,22.97,10.901,success,noInfo,1.956,1.631,0.822
